Date,AAPL,AMD,BAC,BRCD,CHK,CMCSA,CSCO,F,FHN,GE,INTC,JPM,MSFT,MU,RAD,SIRI,T,TEVA,VALE,VZ,WFC,WFT
2011-09-19,52.714119,6.92,6.580361999999999,3.9722699999999995,27.593690999999996,9.892195,13.74044,8.305753999999999,5.968131,13.193748000000001,17.894739,27.392744,22.996838,6.88,1.14,1.7491830000000002,20.65106,31.723285999999998,20.504614,27.192944,20.446667,16.0
2011-09-20,52.947201,6.74,6.495637,3.9157919999999997,27.016228,9.831612,13.757083999999999,8.21119,5.959032,13.079587,18.115057,27.190401,22.802443,6.85,1.11,1.729748,20.846155,30.790004999999997,20.535322,27.290375,20.732397,15.56
2011-09-21,52.779442,6.48,6.006111,3.887553,26.136717,9.459464,13.182829000000002,7.8565830000000005,5.613318,12.541398,17.902897,25.580053,21.965734,6.61,1.07,1.7589009999999998,20.448746,30.798405,19.437548,26.863152000000003,19.925621,14.78
2011-09-22,51.457844,6.12,5.704865,3.7557720000000003,24.057858,9.095972,12.758383,7.580771,5.540535,12.264149,17.641785000000002,24.677917,21.179733,6.43,1.02,1.632571,20.051325,29.755809999999997,18.140173,26.67577,19.471811,13.33
2011-09-23,51.775436,6.17,5.940213,3.9157919999999997,23.133924,9.260408,12.991413,7.7698990000000006,5.531438,12.402776,18.082420000000003,24.947714,21.179733,6.65,1.05,1.652006,20.123587,29.646517,18.416535999999997,26.893133000000002,19.908817000000003,12.9
2011-09-26,51.630714000000005,6.4,6.2132190000000005,3.9816830000000003,24.457642,9.476772,13.307667000000002,7.943264,5.922642,12.696333000000001,18.147692000000003,26.684532,21.500895,6.58,1.04,1.622853,20.477642000000003,29.814671999999998,18.45492,27.252901,20.833246,13.49
2011-09-27,51.130005,6.49,6.10025,4.104051,24.590899,9.662849000000001,13.374248999999999,7.974785000000001,5.749784,12.851264,18.392492,26.617078999999997,21.695286,6.46,1.07,1.6422889999999999,20.716093,30.504126,18.861786,27.650156,20.976110000000002,13.45
2011-09-28,50.841862,6.15,5.799004,4.000509,24.226658,9.520045,13.182829000000002,7.825060000000001,5.422265,12.598478,18.204811,25.68965,21.619221,6.12,1.0,1.613135,20.629381,30.605021999999998,18.547043,27.612682,20.547514000000003,12.7
2011-09-29,50.017146999999994,5.31,5.977869999999999,4.075811,23.868357,9.385900999999999,13.191154000000001,7.88022,5.767981,12.932807,18.123215,26.465311,21.50935,5.87,1.02,1.447935,20.838928,31.059054999999997,18.324419,27.845028000000003,21.00132,12.75
2011-09-30,48.832569,5.08,5.761347,4.066399,22.772087,9.052698,12.899866000000001,7.620172999999999,5.422265,12.410929,17.413303,25.394564000000003,21.036054999999998,5.04,0.98,1.46737,20.60771,31.294483000000003,17.503004,27.582703000000002,20.270185,12.21
