Date,A,AFB,AVB,BANC,BFK,BLL,BT,CIR,CNI,DEI,E,EIX,GME,HQH,KO,LEN,MMM,MSI,MYJ,NOM,OLP,PBT,PHI,PPR,PWR,REX,SNP,SSW,SWK,TLRD,VALE,WRE,ZBH
2012-09-07,26.063194,11.687281,122.67955,10.044835,11.226755,20.241305999999998,15.409941,34.780159000000005,42.2747,20.713835,34.15416,38.306126,17.162409,11.30223,31.998734999999996,32.714451000000004,81.63003499999999,44.130257,12.620846,13.798402,13.622639000000001,10.81104,49.270294,4.277518,24.75,18.389999,55.826687,10.57083,64.215416,32.559132,14.52245,21.933226,62.245971999999995
2012-09-10,25.954651000000002,11.69471,120.036674,10.019849,11.241196,20.198726999999998,15.418373999999998,35.056034000000004,42.453739,20.446499,33.634991,38.332062,17.106951000000002,11.276685,31.796101,32.000957,79.739227,43.718494,12.650243,14.119114000000001,13.622639000000001,10.933975,49.390606,4.306082,24.459999,17.860001,56.415046999999994,10.687207,64.099281,32.437870000000004,14.321083999999999,21.853781,62.007366000000005
2012-09-11,25.662948999999998,11.754109,119.78168500000001,10.036506,11.277296,20.321745,15.291853,35.883671,42.876059999999995,20.446499,34.176411,38.409874,17.249575,11.2703,31.888971,31.894910999999997,80.178955,44.031788,12.7164,14.001779999999998,13.559895000000001,10.970134,50.082439,4.2846589999999996,24.540001,17.700001,56.668976,10.790652,64.483452,31.926826000000002,14.707706,22.044439,62.522732
2012-09-12,25.432304000000002,11.872911,119.32279199999999,10.213175999999999,11.386148,20.359594,15.945535999999999,36.169395,42.729172,20.506868,34.198654,38.444454,17.487278,11.30223,31.91873,33.283314000000004,79.86235,44.445747,12.734115,13.971175,13.580808,11.281089999999999,50.26292,4.3346480000000005,24.870001000000002,17.790001,56.90432,10.719534,65.117714,32.091393,14.828525,22.413854999999998,62.484562
2012-09-13,26.036054999999998,11.872911,120.3256,10.347781,11.458716,20.600903,16.211222,37.391135999999996,42.784248,20.981167000000003,35.288918,38.989094,17.732908,11.289457,32.598755,33.86182,80.961662,45.102665,12.844849,13.798492999999999,13.601723000000002,11.360634,50.450916,4.313225,25.700001,17.940001000000002,58.031502,10.764789,65.689468,32.359913,15.295689999999999,22.727057000000002,63.591663
2012-09-14,26.951862,11.902616,120.10459099999999,10.381433,11.516772999999999,20.47788,15.98349,37.923187,43.022976,21.110514000000002,36.319851,39.049606,18.343018,11.366082,32.403244,35.163464000000005,82.6502,45.480614,12.866995,14.041813000000001,13.629612,11.555883999999999,51.864647,4.3346480000000005,25.82,18.09,59.202049,10.764789,68.521461,32.342597999999995,15.593713000000001,23.008132999999997,63.849346
2012-09-17,26.884024,11.910042,120.079117,10.46556,11.538548,20.41637,15.620804999999999,38.169514,42.816387,20.972535999999998,35.822928999999995,38.677872,17.661602,11.417167,32.598755,34.652446999999995,82.474304,45.147659000000004,12.800558,14.041813000000001,13.734182999999998,11.620966000000001,51.849609,4.3346480000000005,25.540001,18.18,57.207806000000005,10.83591,67.413673,31.944149,15.601768,23.016159,63.87798299999999
2012-09-18,26.829756,11.947165,119.42478200000001,10.423497,11.545803,20.402176,15.561763000000001,38.248329,43.206596000000005,20.903553,35.474339,39.040962,17.772528,11.493793,32.828259,34.314983000000005,82.166489,44.823696000000005,12.778407000000001,14.041813000000001,13.755098,11.519728,51.278099,4.348932,25.5,17.950001,57.022003000000005,10.861772,67.610214,31.017359000000003,15.74675,22.807364,64.126122
2012-09-19,27.053621000000003,11.999143,120.21511100000001,10.43191,11.574832,20.331204999999997,15.565978,38.149799,43.146912,20.670721,35.644928,39.075542,18.089470000000002,11.544874,32.743259,34.960983,82.342392,45.300652,12.970341000000001,14.041813000000001,13.664472,11.114764,50.774260999999996,4.413198,25.34,17.9,57.313091,10.868236999999999,68.333839,31.303192,15.561492000000001,22.542347,64.078415
2012-09-20,26.612675,12.103096,117.72514299999999,10.532863,11.603857000000001,20.193993,15.574415,38.061122999999995,41.127052,20.299904,35.007084000000006,39.084187,18.01816,11.564032000000001,32.845257000000004,35.288795,82.298424,44.823696000000005,12.985106,14.120294,13.664472,11.056911999999999,50.383228,4.348932,24.93,17.620001000000002,56.854767,10.83591,68.19091800000001,31.346496999999996,15.384293,22.253237,63.715740000000004
